gene_id,ensembl,symbol,pvalue,padj,EBV,NOKS,reg,residuals
ENSG00000156162_DPY19L4,ENSG00000156162,DPY19L4,0.6660313692854735,0.9045046700371867,0.21203525841153242,0.11545026148639778,Upregulated,0.12538884305234477
ENSG00000156170_C8orf38,ENSG00000156170,C8orf38,0.024883658799272526,0.29816449609031576,-0.6383187722489092,-1.3312538871594557,Downregulated,0.36079873316221134
ENSG00000156171_DRAM2,ENSG00000156171,DRAM2,0.03531979357397465,0.34057987208125784,0.022200093157083444,0.12693731928788585,Upregulated,-0.0730674579943345
ENSG00000156172_C8orf37,ENSG00000156172,C8orf37,0.9779196824197741,0.9934081353800513,-0.517848304862619,-0.5656490256643221,Downregulated,-0.0933238404376933
ENSG00000156194_PPEF2,ENSG00000156194,PPEF2,0.6598139759116273,1,-0.19451143659969466,-0.3586866448974801,Downregulated,0.07468597895784557
ENSG00000156206_C15orf26,ENSG00000156206,C15orf26,0.30268749065286377,1,-0.016953133281197092,0.06519826590777716,Mixed,-0.0658849932511254
ENSG00000156219_ART3,ENSG00000156219,ART3,0.5234504564423782,0.8409291829810659,-0.24595890152222802,-0.2507829841008652,Downregulated,-0.057744112524281424
ENSG00000156232_WHAMM,ENSG00000156232,WHAMM,0.9701715706252891,0.991034997038971,-0.0781166899160087,-0.2265924098657336,Downregulated,0.0919428648194202
ENSG00000156239_N6AMT1,ENSG00000156239,N6AMT1,0.031631869555904,0.32618267447361576,-0.3644114262088758,-0.8840676593733844,Downregulated,0.29908896463879814
ENSG00000156253_RWDD2B,ENSG00000156253,RWDD2B,0.07019959171913916,0.4308544285428153,-0.3064000273393708,-0.9640804257450574,Downregulated,0.41715063364038457
ENSG00000156256_USP16,ENSG00000156256,USP16,0.780980197781732,0.9432165572522477,-0.08083921189333775,-0.21587589025669496,Downregulated,0.08117750259820791
ENSG00000156261_CCT8,ENSG00000156261,CCT8,0.022690251132762424,0.29089737248345743,-0.6354676932516765,-1.253875824226354,Downregulated,0.30557690964479006
ENSG00000156265_C21orf7,ENSG00000156265,C21orf7,0.9498537505534763,0.9863445750018074,0.13000021706481948,-0.09268512319659311,Mixed,0.19956120011253364
ENSG00000156269_NAA11,ENSG00000156269,NAA11,0.6002437956028874,1,0.23788238554278743,0.43032915123143417,Upregulated,-0.0850833479142873
ENSG00000156273_BACH1,ENSG00000156273,BACH1,0.301590033443577,0.7112929989655087,0.08454930048280829,0.13503100787523567,Upregulated,-0.016792633646166247
ENSG00000156282_CLDN17,ENSG00000156282,CLDN17,0.9964615230431164,1,1.559711823605751,1.582724028525157,Upregulated,0.37186381175248306
ENSG00000156284_CLDN8,ENSG00000156284,CLDN8,0.9865167971468588,1,0.17312743348065618,0.18586654531133387,Upregulated,0.03363299077365079
ENSG00000156298_TSPAN7,ENSG00000156298,TSPAN7,0.12766997826785456,1,1.2659716889133472,0.4977321834524449,Upregulated,0.892419399383565
ENSG00000156299_TIAM1,ENSG00000156299,TIAM1,0.003376333147791265,0.1450674840914941,0.7996440803939862,1.7976959416993918,Upregulated,-0.5495422033665182
ENSG00000156304_SCAF4,ENSG00000156304,SCAF4,0.8085348120170056,0.9492525719946612,0.28791406262230873,0.37270852617429184,Upregulated,0.008193104427569804
ENSG00000156313_RPGR,ENSG00000156313,RPGR,0.4791061553025065,0.823301893430333,-0.7619918256003106,-0.9659974864881422,Downregulated,-0.03700239402553429
ENSG00000156345_CDK20,ENSG00000156345,CDK20,0.13150182677218772,0.5261364861583337,-0.46835824063621034,-0.8819820206946576,Downregulated,0.1935768604241604
ENSG00000156374_PCGF6,ENSG00000156374,PCGF6,0.1163027768821221,0.5059878164720906,-1.0202430627154528,-1.5014775152180746,Downregulated,0.10662874130721939
ENSG00000156381_ANKRD9,ENSG00000156381,ANKRD9,0.08201016722528398,0.45127646494156604,0.5132651989950272,1.101786708146292,Upregulated,-0.31363521268159217
ENSG00000156384_MEIR5,ENSG00000156384,MEIR5,0.4657307968251375,0.8187377044295013,-1.2806555671706192,-1.2108130589063149,Downregulated,-0.37192994044966304
ENSG00000156398_SFXN2,ENSG00000156398,SFXN2,0.019133675651372636,0.2694499340335999,-1.1718865177755982,-1.8192140059259208,Downregulated,0.19344925847364497
ENSG00000156411_C14orf2,ENSG00000156411,C14orf2,0.7065683169939165,0.915862365241217,-0.25957695497939615,-0.37653128777766154,Downregulated,0.023013018715526426
ENSG00000156413_FUT6,ENSG00000156413,FUT6,2.7346057032325276e-5,0.013076607077961329,1.5666476033410737,4.037853187310558,Upregulated,-1.463795982690571
ENSG00000156414_TDRD9,ENSG00000156414,TDRD9,0.9819968692676015,1,0.35373683311803844,0.2602679715424176,Upregulated,0.15840347937232593
ENSG00000156453_PCDH1,ENSG00000156453,PCDH1,0.30216313965305813,0.7116069063738183,3.1994932726533145,3.3855731349700413,Upregulated,0.6585914825254231
ENSG00000156463_SH3RF2,ENSG00000156463,SH3RF2,0.8242691390930651,0.9542817124941433,-0.02603885448254284,-0.14161906406434197,Downregulated,0.0802474725444783
ENSG00000156467_UQCRB,ENSG00000156467,UQCRB,0.14904506124039985,0.5550809151207601,0.07263013496954286,0.1356283083614353,Upregulated,-0.029160078317531236
